trial,fault_round,fault_byte,fault_value,plaintext,key,golden_ct,faulty_ct,diff_count,diff_positions
golden,0,-1,0,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,3925841d02dc09fbdc118597196a0b32,0,
col0_t0,9,0,164,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,3025841d02dc09dddc11b29719f80b32,4,"0,7,10,13"
col0_t1,9,0,29,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,e125841d02dc0991dc11a897191a0b32,4,"0,7,10,13"
col0_t2,9,0,7,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,f025841d02dc0906dc11bb97192c0b32,4,"0,7,10,13"
col0_t3,9,0,190,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,7e25841d02dc0947dc11f09719f70b32,4,"0,7,10,13"
col0_t4,9,0,71,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,5a25841d02dc09bddc11ed9719630b32,4,"0,7,10,13"
col0_t5,9,0,63,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,9125841d02dc092edc113497197f0b32,4,"0,7,10,13"
col0_t6,9,0,58,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,a225841d02dc0915dc11679719ca0b32,4,"0,7,10,13"
col0_t7,9,0,36,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,dd25841d02dc09eedc11b797194a0b32,4,"0,7,10,13"
col0_t8,9,0,189,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,8225841d02dc0966dc113d9719bd0b32,4,"0,7,10,13"
col0_t9,9,0,27,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,8c25841d02dc091bdc11449719500b32,4,"0,7,10,13"
col0_t10,9,0,174,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,3825841d02dc09bbdc11939719e50b32,4,"0,7,10,13"
col0_t11,9,0,190,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,7e25841d02dc0947dc11f09719f70b32,4,"0,7,10,13"
col0_t12,9,0,229,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,1925841d02dc09cedc11779719ab0b32,4,"0,7,10,13"
col0_t13,9,0,140,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,9625841d02dc09bcdc11569719dc0b32,4,"0,7,10,13"
col0_t14,9,0,23,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,6125841d02dc09d8dc11f19719bf0b32,4,"0,7,10,13"
col0_t15,9,0,152,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,2325841d02dc09a0dc119a9719740b32,4,"0,7,10,13"
col0_t16,9,0,109,3243f6a8885a308d313198a2e0370734,2b7e151628aed2a6abf7158809cf4f3c,3925841d02dc09fbdc118597196a0b32,a025841d02dc095cdc11a69719130b32,4,"0,7,10,13"
