trial,instr,mask,golden_tag,faulty_tag,diff_count,diff_positions
golden,-1,0,e355159f292911f794cb1432a0103a8a,e355159f292911f794cb1432a0103a8a,0,
i3500_m01,3500,1,e355159f292911f794cb1432a0103a8a,c7583093ea3910df85ecc1e6c4509b62,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3500_m02,3500,2,e355159f292911f794cb1432a0103a8a,e355159f292911f794cb1432a0103a8a,0,
i3500_m04,3500,4,e355159f292911f794cb1432a0103a8a,7f68a1fdf318b663485a126affc0792e,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3500_m08,3500,8,e355159f292911f794cb1432a0103a8a,e355159f292911f794cb1432a0103a8a,0,
i3500_m10,3500,16,e355159f292911f794cb1432a0103a8a,e355159f292911f794cb1432a0103a8a,0,
i3500_m20,3500,32,e355159f292911f794cb1432a0103a8a,e355159f292911f794cb1432a0103a8a,0,
i3500_m40,3500,64,e355159f292911f794cb1432a0103a8a,fb1cdb822c6b81864f9f15ea909c10ff,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3500_m80,3500,128,e355159f292911f794cb1432a0103a8a,857a26db23bdb7ad1619677ad580c345,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3504_m01,3504,1,e355159f292911f794cb1432a0103a8a,a25dd776de6643d7324eb639305133ca,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3504_m02,3504,2,e355159f292911f794cb1432a0103a8a,29c7940e272e84b798ea41b44054a909,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3504_m04,3504,4,e355159f292911f794cb1432a0103a8a,e7643ab87730d8d45e5d943ca1243f88,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3504_m08,3504,8,e355159f292911f794cb1432a0103a8a,7b334bd21353c8e521e6062a2348708e,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3504_m10,3504,16,e355159f292911f794cb1432a0103a8a,bf13b9957bcc2cdcfc9130932444af80,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
i3504_m20,3504,32,e355159f292911f794cb1432a0103a8a,82cc4483944550bf00ff1d50a9901298,16,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
