trial,instr,fired_lanes,n_fired,ct0,ct1,ct2,ct3,diff_count_0,diff_count_1,diff_count_2,diff_count_3,col_0,col_1,col_2,col_3
golden,-1,,0,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5000,5000,1,1,3925841d02dc09fbdc118597196a0b32,8df4e9aac5c7573a27d8d055d6e4d64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,0,0,0,-1,-1,-1,-1
i5004,5004,"0,1,2,3",4,392584c302dc53fbdc268597ba6a0b32,8df4e9c8c5c7773a27b1d0555de4d64b,2f4967bb7ab8702f43b79b652e35b8c1,e16b670ee413aa7d83e7b9aefcb847f4,4,4,4,4,3,3,3,3
i5008,5008,"0,1,2,3",4,392584c302dc53fbdc268597ba6a0b32,8df4e9c8c5c7773a27b1d0555de4d64b,2f4967bb7ab8702f43b79b652e35b8c1,e16b670ee413aa7d83e7b9aefcb847f4,4,4,4,4,3,3,3,3
i5012,5012,"0,1,2,3",4,3925231d026109fbe5118597196a0bbf,8df452aac52c573a30d8d055d6e4d65b,2f49dc1c7a021b2fc65d9b650e35b856,e16bce6be4e1d87d7dedb9aef7b84799,4,4,4,4,2,2,2,2
i5016,5016,"0,1,2,3",4,3925231d026109fbe5118597196a0bbf,8df452aac52c573a30d8d055d6e4d65b,2f49dc1c7a021b2fc65d9b650e35b856,e16bce6be4e1d87d7dedb9aef7b84799,4,4,4,4,2,2,2,2
i5020,5020,"0,1,2,3",4,,,,,-1,-1,-1,-1,-1,-1,-1,-1
i5024,5024,"0,1,2,3",4,3925841d02dc09fbdc118597196a0b32,43f4e9aac5c7572227d8ba55d60dd64b,2f49671c7ab81b2f435d9b650e35b8c1,e16b676be413d87d83edb9aef7b847f4,0,4,0,0,-1,0,-1,-1
i5028,5028,"0,1,2,3",4,fd25841d02dc0962dc11749719b20b32,c5f4e9aac5c7577327d89355d631d64b,3c49671c7ab81b1a435dd2650ec3b8c1,5c6b676be413d82d83ed6eaef7e047f4,4,4,4,4,0,0,0,0
i5032,5032,"0,2,3",3,6d25841d02dc0989dc114a9719500b32,8df4e9aac5c7573a27d8d055d6e4d64b,3049671c7ab81bca435d95650e20b8c1,1e6b676be413d8b683ed7faef72f47f4,4,0,4,4,0,-1,0,0
