trial,instr,mask,golden_ct,faulty_ct,diff_count,diff_positions,dfa_column
golden,-1,0,3925841d02dc09fbdc118597196a0b32,3925841d02dc09fbdc118597196a0b32,0,,-1
i3700_m01,3700,1,3925841d02dc09fbdc118597196a0b32,4a25841d02dc0918dc11d29719520b32,4,"0,7,10,13",0
i3700_m02,3700,2,3925841d02dc09fbdc118597196a0b32,b625841d02dc0909dc11249719290b32,4,"0,7,10,13",0
i3700_m04,3700,4,3925841d02dc09fbdc118597196a0b32,3425841d02dc0936dc11409719bc0b32,4,"0,7,10,13",0
i3700_m08,3700,8,3925841d02dc09fbdc118597196a0b32,d325841d02dc09fcdc11599719ac0b32,4,"0,7,10,13",0
i3700_m10,3700,16,3925841d02dc09fbdc118597196a0b32,9925841d02dc0986dc11669719e40b32,4,"0,7,10,13",0
i3700_m20,3700,32,3925841d02dc09fbdc118597196a0b32,9725841d02dc0943dc117097190e0b32,4,"0,7,10,13",0
i3700_m40,3700,64,3925841d02dc09fbdc118597196a0b32,aa25841d02dc0972dc113997191c0b32,4,"0,7,10,13",0
i3700_m80,3700,128,3925841d02dc09fbdc118597196a0b32,fd25841d02dc09f7dc11f99719c50b32,4,"0,7,10,13",0
i3704_m01,3704,1,3925841d02dc09fbdc118597196a0b32,3925391d028c09fbbc118597196a0b5e,4,"2,5,8,15",2
i3704_m02,3704,2,3925841d02dc09fbdc118597196a0b32,3925631d026609fb0f118597196a0b40,4,"2,5,8,15",2
i3704_m04,3704,4,3925841d02dc09fbdc118597196a0b32,3925141d029609fb83118597196a0b60,4,"2,5,8,15",2
i3704_m08,3704,8,3925841d02dc09fbdc118597196a0b32,39253f1d022e09fb19118597196a0bfb,4,"2,5,8,15",2
i3704_m10,3704,16,3925841d02dc09fbdc118597196a0b32,3925fa1d021c09fb7a118597196a0bf9,4,"2,5,8,15",2
i3704_m20,3704,32,3925841d02dc09fbdc118597196a0b32,3925a51d026a09fbdf118597196a0bdc,4,"2,5,8,15",2
i3704_m40,3704,64,3925841d02dc09fbdc118597196a0b32,3925b01d025409fbad118597196a0b61,4,"2,5,8,15",2
i3704_m80,3704,128,3925841d02dc09fbdc118597196a0b32,3925991d02c609fb41118597196a0b57,4,"2,5,8,15",2
i3708_m01,3708,1,3925841d02dc09fbdc118597196a0b32,3925391d028c09fbbc118597196a0b5e,4,"2,5,8,15",2
i3708_m02,3708,2,3925841d02dc09fbdc118597196a0b32,3925631d026609fb0f118597196a0b40,4,"2,5,8,15",2
